external_event_id,external_member_id,occurred_at,event_type
e38,M-LOYAL,2026-06-14T16:10:00+05:00,check_in
e39,M-LOYAL,2026-06-15T17:10:00+05:00,check_in
e40,M-LOYAL,2026-06-17T16:10:00+05:00,check_in
e41,M-LOYAL,2026-06-19T18:10:00+05:00,check_in
e42,M-LOYAL,2026-06-21T16:10:00+05:00,check_in
e43,M-LOYAL,2026-06-22T17:10:00+05:00,check_in
e44,M-LOYAL,2026-06-24T16:10:00+05:00,check_in
e45,M-LOYAL,2026-06-26T18:10:00+05:00,check_in
e46,M-LOYAL,2026-06-28T16:10:00+05:00,check_in
e47,M-LOYAL,2026-06-29T17:10:00+05:00,check_in
e48,M-LOYAL,2026-07-01T16:10:00+05:00,check_in
e49,M-LOYAL,2026-07-03T18:10:00+05:00,check_in
e50,M-LOYAL,2026-07-05T16:10:00+05:00,check_in
e51,M-LOYAL,2026-07-06T17:10:00+05:00,check_in
e52,M-LOYAL,2026-07-08T16:10:00+05:00,check_in
e53,M-LOYAL,2026-07-10T18:10:00+05:00,check_in
e54,M-LOYAL,2026-07-12T16:10:00+05:00,check_in
e55,M-LOYAL,2026-07-13T17:10:00+05:00,check_in
e56,M-LOYAL,2026-07-15T16:10:00+05:00,check_in
e57,M-LOYAL,2026-07-17T18:10:00+05:00,check_in
e58,M-LOYAL,2026-07-19T16:10:00+05:00,check_in
e59,M-LOYAL,2026-07-20T17:10:00+05:00,check_in
e60,M-LOYAL,2026-07-22T16:10:00+05:00,check_in
e61,M-LOYAL,2026-07-24T18:10:00+05:00,check_in
e62,M-LOYAL,2026-07-26T16:10:00+05:00,check_in
e63,M-LOYAL,2026-07-27T17:10:00+05:00,check_in
e64,M-LOYAL,2026-07-29T16:10:00+05:00,check_in
e65,M-LOYAL,2026-07-31T18:10:00+05:00,check_in
e66,M-LOYAL,2026-08-02T16:10:00+05:00,check_in
e67,M-LOYAL,2026-08-03T17:10:00+05:00,check_in
e68,M-LOYAL,2026-08-05T16:10:00+05:00,check_in
e69,M-LOYAL,2026-08-07T18:10:00+05:00,check_in
e70,M-LOYAL,2026-08-09T16:10:00+05:00,check_in
e71,M-LOYAL,2026-08-10T17:10:00+05:00,check_in
e72,M-LOYAL,2026-08-12T16:10:00+05:00,check_in
e73,M-LOYAL,2026-08-14T18:10:00+05:00,check_in
e74,M-LOYAL,2026-08-16T16:10:00+05:00,check_in
e75,M-INACTIVE,2026-06-07T18:10:00+05:00,check_in
e76,M-INACTIVE,2026-06-09T18:10:00+05:00,check_in
e77,M-INACTIVE,2026-06-11T18:10:00+05:00,check_in
e78,M-INACTIVE,2026-06-14T18:10:00+05:00,check_in
e79,M-INACTIVE,2026-06-16T18:10:00+05:00,check_in
e80,M-INACTIVE,2026-06-18T18:10:00+05:00,check_in
e81,M-INACTIVE,2026-06-21T18:10:00+05:00,check_in
e82,M-INACTIVE,2026-06-23T18:10:00+05:00,check_in
e83,M-INACTIVE,2026-06-25T18:10:00+05:00,check_in
e84,M-INACTIVE,2026-06-28T18:10:00+05:00,check_in
e85,M-INACTIVE,2026-06-30T18:10:00+05:00,check_in
e86,M-INACTIVE,2026-07-02T18:10:00+05:00,check_in
e87,M-INACTIVE,2026-07-05T18:10:00+05:00,check_in
e88,M-INACTIVE,2026-07-07T18:10:00+05:00,check_in
e89,M-INACTIVE,2026-07-09T18:10:00+05:00,check_in
e90,M-INACTIVE,2026-07-12T18:10:00+05:00,check_in
e91,M-INACTIVE,2026-07-14T18:10:00+05:00,check_in
e92,M-INACTIVE,2026-07-16T18:10:00+05:00,check_in
e93,M-INACTIVE,2026-07-25T18:10:00+05:00,check_in
e94,M-NEW,2026-08-11T17:10:00+05:00,check_in
e95,M-NEW,2026-08-13T19:10:00+05:00,check_in
e96,M-EXPIRE,2026-06-22T18:10:00+05:00,check_in
e97,M-EXPIRE,2026-06-24T18:10:00+05:00,check_in
e98,M-EXPIRE,2026-06-26T18:10:00+05:00,check_in
e99,M-EXPIRE,2026-06-29T18:10:00+05:00,check_in
e100,M-EXPIRE,2026-07-01T18:10:00+05:00,check_in
e101,M-EXPIRE,2026-07-03T18:10:00+05:00,check_in
e102,M-EXPIRE,2026-07-06T18:10:00+05:00,check_in
e103,M-EXPIRE,2026-07-08T18:10:00+05:00,check_in
e104,M-EXPIRE,2026-07-10T18:10:00+05:00,check_in
e105,M-EXPIRE,2026-07-13T18:10:00+05:00,check_in
e106,M-EXPIRE,2026-07-15T18:10:00+05:00,check_in
e107,M-EXPIRE,2026-07-17T18:10:00+05:00,check_in
e108,M-EXPIRE,2026-07-20T18:10:00+05:00,check_in
e109,M-EXPIRE,2026-07-22T18:10:00+05:00,check_in
e110,M-EXPIRE,2026-07-24T18:10:00+05:00,check_in
e111,M-EXPIRE,2026-07-27T18:10:00+05:00,check_in
e112,M-EXPIRE,2026-07-29T18:10:00+05:00,check_in
e113,M-EXPIRE,2026-07-31T18:10:00+05:00,check_in
e114,M-EXPIRE,2026-08-03T18:10:00+05:00,check_in
e115,M-EXPIRE,2026-08-05T18:10:00+05:00,check_in
e116,M-EXPIRE,2026-08-07T18:10:00+05:00,check_in
e117,M-EXPIRE,2026-08-10T18:10:00+05:00,check_in
e118,M-EXPIRE,2026-08-12T18:10:00+05:00,check_in
e119,M-EXPIRE,2026-08-14T18:10:00+05:00,check_in
e120,M-CANCEL,2026-06-22T18:10:00+05:00,check_in
e121,M-CANCEL,2026-06-24T18:10:00+05:00,check_in
e122,M-CANCEL,2026-06-26T18:10:00+05:00,check_in
e123,M-CANCEL,2026-06-29T18:10:00+05:00,check_in
e124,M-CANCEL,2026-07-01T18:10:00+05:00,check_in
e125,M-CANCEL,2026-07-03T18:10:00+05:00,check_in
e126,M-CANCEL,2026-07-06T18:10:00+05:00,check_in
e127,M-CANCEL,2026-07-08T18:10:00+05:00,check_in
e128,M-CANCEL,2026-07-10T18:10:00+05:00,check_in
e129,M-CANCEL,2026-07-13T18:10:00+05:00,check_in
e130,M-CANCEL,2026-07-15T18:10:00+05:00,check_in
e131,M-CANCEL,2026-07-17T18:10:00+05:00,check_in
e132,M-CANCEL,2026-07-20T18:10:00+05:00,check_in
e133,M-CANCEL,2026-07-22T18:10:00+05:00,check_in
e134,M-CANCEL,2026-07-24T18:10:00+05:00,check_in
e135,M-CANCEL,2026-07-27T18:10:00+05:00,check_in
e136,M-CANCEL,2026-07-29T18:10:00+05:00,check_in
e137,M-CANCEL,2026-07-31T18:10:00+05:00,check_in
e138,M-CANCEL,2026-08-03T18:10:00+05:00,check_in
e139,M-CANCEL,2026-08-05T18:10:00+05:00,check_in
e140,M-CANCEL,2026-08-07T18:10:00+05:00,check_in
e141,M-CANCEL,2026-08-10T18:10:00+05:00,check_in
e142,M-CANCEL,2026-08-12T18:10:00+05:00,check_in
e143,M-CANCEL,2026-08-14T18:10:00+05:00,check_in
e144,M-RENEW,2026-06-22T18:10:00+05:00,check_in
e145,M-RENEW,2026-06-24T18:10:00+05:00,check_in
e146,M-RENEW,2026-06-26T18:10:00+05:00,check_in
e147,M-RENEW,2026-06-29T18:10:00+05:00,check_in
e148,M-RENEW,2026-07-01T18:10:00+05:00,check_in
e149,M-RENEW,2026-07-03T18:10:00+05:00,check_in
e150,M-RENEW,2026-07-06T18:10:00+05:00,check_in
e151,M-RENEW,2026-07-08T18:10:00+05:00,check_in
e152,M-RENEW,2026-07-10T18:10:00+05:00,check_in
e153,M-RENEW,2026-07-13T18:10:00+05:00,check_in
e154,M-RENEW,2026-07-15T18:10:00+05:00,check_in
e155,M-RENEW,2026-07-17T18:10:00+05:00,check_in
e156,M-RENEW,2026-07-20T18:10:00+05:00,check_in
e157,M-RENEW,2026-07-22T18:10:00+05:00,check_in
e158,M-RENEW,2026-07-24T18:10:00+05:00,check_in
e159,M-RENEW,2026-07-27T18:10:00+05:00,check_in
e160,M-RENEW,2026-07-29T18:10:00+05:00,check_in
e161,M-RENEW,2026-07-31T18:10:00+05:00,check_in
e162,M-RENEW,2026-08-03T18:10:00+05:00,check_in
e163,M-RENEW,2026-08-05T18:10:00+05:00,check_in
e164,M-RENEW,2026-08-07T18:10:00+05:00,check_in
e165,M-RENEW,2026-08-10T18:10:00+05:00,check_in
e166,M-RENEW,2026-08-12T18:10:00+05:00,check_in
e167,M-RENEW,2026-08-14T18:10:00+05:00,check_in
e168,M-TRIAL,2026-08-07T17:10:00+05:00,check_in
e169,M-TRIAL,2026-08-10T18:10:00+05:00,check_in
e170,M-TRIAL,2026-08-14T19:10:00+05:00,check_in
e171,M-GHOST,2026-08-12T12:10:00+05:00,check_in
e172,M-GHOST,2026-08-15T12:10:00+05:00,check_in
